,Ex-Showroom_Price,Displacement,Cylinders,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Gears,Seating_Capacity,Type,Boot_Space,Number_of_Airbags
0,292667,624,2,4,Petrol,1652,3164,1750,Hatchback,5,23.6,4,4,Manual,110,0
1,236447,624,2,24,Petrol,1652,3164,1750,Hatchback,5,23.6,4,4,Manual,110,0
2,296661,624,2,15,CNG,1652,3164,1750,Hatchback,4,93.25,4,4,Manual,110,0
3,334768,624,2,24,Petrol,1652,3164,1750,Hatchback,5,23.6,5,4,Automatic,94,0
4,272223,624,2,24,Petrol,1652,3164,1750,Hatchback,5,23.6,4,4,Manual,110,0
5,314815,624,2,24,Petrol,1652,3164,1750,Hatchback,5,23.6,5,4,Automatic,94,0
6,279650,799,3,28,Petrol,1541,3429,1560,Hatchback,5,21.38,5,5,Manual,222,0
7,351832,799,3,28,Petrol,1541,3429,1560,Hatchback,5,21.38,5,5,Manual,222,0
8,333419,799,3,28,Petrol,1541,3429,1560,Hatchback,5,21.38,5,5,Manual,222,0
9,362000,799,3,28,Petrol,1541,3429,1560,Hatchback,5,21.38,5,5,Manual,222,0
10,390000,999,3,28,Petrol,1541,3429,1560,Hatchback,5,93.25,5,5,Manual,222,0
11,437065,999,3,28,Petrol,1541,3429,1560,Hatchback,5,93.25,5,5,Automatic,222,0
12,353290,799,3,28,Petrol,1490,3731,1579,Hatchback,5,25.17,6,5,Manual,300,1
13,283290,799,3,28,Petrol,1490,3731,1579,Hatchback,5,25.17,5,5,Manual,300,1
14,383290,799,3,28,Petrol,1490,3731,1579,Hatchback,5,25.17,5,5,Manual,300,1
15,413290,799,3,28,Petrol,1490,3731,1580,Hatchback,5,25.17,5,5,Manual,300,1
16,433290,999,3,28,Petrol,1490,3731,1579,Hatchback,5,25.17,5,5,Manual,300,1
17,454490,999,3,28,Petrol,1490,3731,1579,Hatchback,5,25.17,5,5,Manual,300,1
18,463290,999,3,28,Petrol,1490,3731,1579,Hatchback,5,25.17,5,5,Automatic,300,1
19,484490,999,3,28,Petrol,1490,3731,1579,Hatchback,5,25.17,5,5,Automatic,300,1
20,440990,999,3,28,Petrol,1490,3731,1579,Hatchback,5,25.17,5,5,Manual,300,2
21,470990,999,3,28,Petrol,1490,3731,1579,Hatchback,5,25.17,5,5,Automatic,300,2
22,462190,999,3,28,Petrol,1490,3731,1579,Hatchback,5,25.17,5,5,Manual,300,2
23,492190,999,3,28,Petrol,1490,3731,1579,Hatchback,5,25.17,5,5,Automatic,300,2
24,352136,1196,4,40,Petrol,1800,3675,1475,MPV,5,12,5,5,Manual,400,1
25,380573,1196,4,40,Petrol,1800,3675,1475,MPV,5,12,5,7,Manual,250,1
26,392967,1196,4,40,Petrol,1800,3675,1475,MPV,5,11,5,5,Manual,400,0
27,466057,1196,4,40,CNG,1800,3675,1475,MPV,5,93.25,5,5,Manual,400,1
28,425255,1196,4,40,CNG,1800,3675,1475,MPV,5,93.25,5,5,Manual,400,1
29,377588,998,3,35,Petrol,1475,3545,1490,Hatchback,5,14,5,5,Manual,177,1
30,394036,998,3,35,Petrol,1475,3545,1490,Hatchback,5,14,5,5,Manual,177,1
31,360843,998,3,35,Petrol,1475,3545,1490,Hatchback,5,19,5,5,Manual,177,1
32,407238,998,3,35,Petrol,1460,3620,1475,Hatchback,5,14,5,5,Manual,177,1
33,439777,998,3,35,CNG,1475,3545,1490,Hatchback,5,93.25,5,5,Manual,177,1
