,Unnamed: 0,Ex-Showroom_Price,Displacement,Cylinders,Fuel_Tank_Capacity,Height,Length,Width,Body_Type,Doors,City_Mileage,Gears,Seating_Capacity,Type,Boot_Space,Number_of_Airbags,CNG,CNG + Petrol,Diesel,Electric,Hybrid,Petrol
0,0,292667.0,624,2,4,0.6187265917602996,0.5193696651346028,0.7861635220125787,Hatchback,5,23.6,4,4,Manual,110,0,0,0,0,0,0,1
1,1,236447.0,624,2,24,0.6187265917602996,0.5193696651346028,0.7861635220125787,Hatchback,5,23.6,4,4,Manual,110,0,0,0,0,0,0,1
2,2,296661.0,624,2,15,0.6187265917602996,0.5193696651346028,0.7861635220125787,Hatchback,4,93.25,4,4,Manual,110,0,1,0,0,0,0,0
3,3,334768.0,624,2,24,0.6187265917602996,0.5193696651346028,0.7861635220125787,Hatchback,5,23.6,5,4,Automatic,94,0,0,0,0,0,0,1
4,4,272223.0,624,2,24,0.6187265917602996,0.5193696651346028,0.7861635220125787,Hatchback,5,23.6,4,4,Manual,110,0,0,0,0,0,0,1
5,5,314815.0,624,2,24,0.6187265917602996,0.5193696651346028,0.7861635220125787,Hatchback,5,23.6,5,4,Automatic,94,0,0,0,0,0,0,1
6,6,279650.0,799,3,28,0.5771535580524345,0.5628693368351937,0.7008086253369272,Hatchback,5,21.38,5,5,Manual,222,0,0,0,0,0,0,1
7,7,351832.0,799,3,28,0.5771535580524345,0.5628693368351937,0.7008086253369272,Hatchback,5,21.38,5,5,Manual,222,0,0,0,0,0,0,1
8,8,333419.0,799,3,28,0.5771535580524345,0.5628693368351937,0.7008086253369272,Hatchback,5,21.38,5,5,Manual,222,0,0,0,0,0,0,1
9,9,362000.0,799,3,28,0.5771535580524345,0.5628693368351937,0.7008086253369272,Hatchback,5,21.38,5,5,Manual,222,0,0,0,0,0,0,1
10,10,390000.0,999,3,28,0.5771535580524345,0.5628693368351937,0.7008086253369272,Hatchback,5,93.25,5,5,Manual,222,0,0,0,0,0,0,1
11,11,437065.0,999,3,28,0.5771535580524345,0.5628693368351937,0.7008086253369272,Hatchback,5,93.25,5,5,Automatic,222,0,0,0,0,0,0,1
12,12,353290.0,799,3,28,0.5580524344569289,0.6124425476034143,0.7093441150044923,Hatchback,5,25.17,6,5,Manual,300,1,0,0,0,0,0,1
13,13,283290.0,799,3,28,0.5580524344569289,0.6124425476034143,0.7093441150044923,Hatchback,5,25.17,5,5,Manual,300,1,0,0,0,0,0,1
14,14,383290.0,799,3,28,0.5580524344569289,0.6124425476034143,0.7093441150044923,Hatchback,5,25.17,5,5,Manual,300,1,0,0,0,0,0,1
15,15,413290.0,799,3,28,0.5580524344569289,0.6124425476034143,0.7097933513027853,Hatchback,5,25.17,5,5,Manual,300,1,0,0,0,0,0,1
16,16,433290.0,999,3,28,0.5580524344569289,0.6124425476034143,0.7093441150044923,Hatchback,5,25.17,5,5,Manual,300,1,0,0,0,0,0,1
17,17,454490.0,999,3,28,0.5580524344569289,0.6124425476034143,0.7093441150044923,Hatchback,5,25.17,5,5,Manual,300,1,0,0,0,0,0,1
18,18,463290.0,999,3,28,0.5580524344569289,0.6124425476034143,0.7093441150044923,Hatchback,5,25.17,5,5,Automatic,300,1,0,0,0,0,0,1
19,19,484490.0,999,3,28,0.5580524344569289,0.6124425476034143,0.7093441150044923,Hatchback,5,25.17,5,5,Automatic,300,1,0,0,0,0,0,1
20,20,440990.0,999,3,28,0.5580524344569289,0.6124425476034143,0.7093441150044923,Hatchback,5,25.17,5,5,Manual,300,2,0,0,0,0,0,1
21,21,470990.0,999,3,28,0.5580524344569289,0.6124425476034143,0.7093441150044923,Hatchback,5,25.17,5,5,Automatic,300,2,0,0,0,0,0,1
